0;Магазины;KLINIKA DANTIST SIBIRI;501;-626
1;Еще одна категория;BATA 72102         401;-863;-153
2;Еще одна категория;HEY POKER;-9;640
3;Какая-то категория;GZD, VOKZAL MOSKOVSKI;-475;577
4;Аптеки;AZS 253;482;178
5;Аптеки;DECATHLON ALTUFIEVO;930;-956
6;Магазины;LAPOTOK;671;343
7;Другая категория;MCDONALDS 24003       ;-721;793
8;Какая-то категория;MOTIVI-STOK;-747;1000
9;Итернет;HOUSE;181;691
10;Итернет;CHITAIYNA             ;-696;615
11;Еще одна категория;LUKOIL AZS 26;-447;-939
12;ЛОлоло;TRI TOLSTYAKA;-364;-505
13;Компьтеры;SEVERNYY LES;-594;664
14;Аптеки;Hotels com Russia;-583;-909
15;Машины;RESTAURANT;-898;47
16;Аптеки;TARELKA 2;145;387
17;Аптеки;BILLA-GENERALA TYULENE;-35;996
18;Компьтеры;LEE WRANGLER  SHOP;836;791
19;Другая категория;BANKOMAT 400237 781078;12;-231
20;Итернет;PRISMA LAPPEENRANTA;-729;523
21;Компьтеры;TIME HOTEL;274;639
22;Компьтеры;WWW.PAY.MTS.RU;-851;830
23;Ололоо;BRIT.KONDIT.NA VLADIM.;-27;527
24;Итернет;PEPPERMILL BUFFET;-525;26
25;Компьтеры;MONDO DI CALCE  SHOP;225;-90
26;Итернет;OPTIKA GRAND;975;-431
27;Магазины;Torgovaya set EditA;-116;158
28;Аптеки;ASHAN-ALTUFEVO;449;612
29;Другая категория;SEMEYNYY;13;-114
30;Компьтеры;SANGIS CAMPING;-202;832
31;Машины;210073 KARI;471;-518
32;Машины;AZS PARALLEL 28;388;419
33;Машины;MOSS ROOM             ;-568;-43
34;Другая категория;STUDIYA SUSHI 10;-902;391
35;Компьтеры;PIANTA;805;-194
36;Машины;BPA 122;45;861
37;Магазины;PEREKRESTOK GORKI-10;229;-896
38;Другая категория;KRUZHKA;-532;-839
39;Еще одна категория;AZS 49 ENTIKOM;-327;-372
40;ЛОлоло;RESTORAN KHIBARA;-549;-278
41;Машины;ATM 3660/LENINSKOGO KOMSO;731;536
42;Итернет;PYATEROCHKA 4313;183;753
43;Ололоо;SOCHNAYA TOCHKA;456;-543
44;ЛОлоло;O'KEY,N1006893;106;-200
45;Аптеки;GOOGLE *OneTwoApps;570;-443
46;Машины;PCHELKA;322;338
47;Другая категория;OOO TORGOVYY DOM REAL;570;187
48;Аптеки;DALSAN-2;-452;222
49;Машины;PRESENT;-508;-185
50;Еще одна категория;GOOGLE *Amberfog;526;-572
51;Машины;BAHNHOF 1114;863;-43
52;Машины;DECATHLON BELAYA DACHA 45;493;-805
53;Магазины;Polushka kassa 2;-934;623
54;Другая категория;NETTO,N1016320;-565;315
55;Какая-то категория;RALFRINGER;-1;865
56;Ололоо;SHELL 1369;-92;686
57;Итернет;LUKOIL-NVNP AZS 246;-626;247
58;Какая-то категория;MCDONALDS 26105       ;-268;-104
59;Ололоо;TATNEFT AZS 317;-839;525
60;Магазины;BESTOIL;-506;-677
61;ЛОлоло;TARGET        00027672;828;-969
62;Итернет;TRANSCREDITBANK GCSS;-403;624
63;Аптеки;IP MOROZOVA E.I.;-79;-681
64;Машины;STEAK HOUSE;87;469
65;Еще одна категория;IV ROSHE;-311;-96
66;Еще одна категория;SAVAGE;137;-45
67;Компьтеры;PB Bansko;743;-696
68;Еще одна категория;UNTSIYA-CHAJKOFF;-155;885
69;ЛОлоло;INVESTTSENTR;-605;269
70;Ололоо;UFIMSKOE AGENTSTVO N1, S;-232;116
71;Еще одна категория;BURGER KING 0036;994;-223
72;Итернет;NEXT DIRECTORY;-748;-824
73;Машины;BP AZK 006 WILD BEAN CAF;-252;-474
74;Аптеки;NESTE-SPB AZS-351;587;787
75;Ололоо;TKANI OT YANINYKH;107;771
76;Машины;TESCOMA;649;210
77;Магазины;ORKHIDEYA;-571;-60
78;Компьтеры;GAP #170;88;47
79;Магазины;SHOP OLIVER;328;-321
80;Другая категория;AVG_ATM;363;-311
81;Еще одна категория;PARTYPIANO;339;-732
82;Компьтеры;MAZK BP  ODINTSOVSKAYA-1;225;-44
83;Еще одна категория;STYLE   SALON;-448;-56
84;Итернет;SUPERMARKET NORMA;685;-399
85;Ололоо;MOTIVI             996;-80;-706
86;Какая-то категория;F-L GPB  OAO V G.TOMSK;895;206
87;Итернет;CYBERPLAT MS;856;666
88;Машины;Calvin Klein Outlet;-401;-316
89;Итернет;CHOP-CHOP;-517;100
90;Компьтеры;IP MEMEDLYAEVA O.I.;184;129
91;ЛОлоло;AZS 0307 LUK;-725;-704
92;Еще одна категория;RESTAURANT  BO BO;-320;-10
93;Еще одна категория;DZHON BUL PAB;-958;-419
94;Компьтеры;VITAPHARM 73;-816;389
95;Какая-то категория;FK Balkansky;482;-257
96;Еще одна категория;ILOKALLIONKATU 4;-318;640
97;Еще одна категория;DLINNIY HVOST  RESTAURAN;-295;225
98;Итернет;JASMINE;-462;322
99;Компьтеры;IP BAKHRAMOVA L.S.;-82;872
100;Машины;SEMYA NA GEROEV KHASANA;536;789
101;Ололоо;ZHEMCHUZHINA;749;-589
102;Какая-то категория;R2004089, MAXIDOM;-808;674
103;ЛОлоло;ZOOM-1  SHOP;-573;932
104;Компьтеры;00000000008174/ATM 42 MDM;476;413
105;Ололоо;LARES   SHOP;-342;680
106;Ололоо;BEAUTY SURGERY KLINIC;-716;-552
107;Машины;LUKOIL-NVNP AZS 107 CN;-664;-64
108;Итернет;HENDERSON-31 SHOP;-500;794
109;Другая категория;R1209007, CUTTY SARK;639;149
110;Аптеки;DIKSI  - 33058 KKM1;-826;885
111;Еще одна категория;SPORTMASTER   SHOP;-39;933
112;Компьтеры;ADMIRAL;-821;-106
113;ЛОлоло;ICA NARA FJALLBODEN;-973;-293
114;Итернет;ALINA;-250;-418
115;Магазины;SEVEN 509;-770;885
116;Компьтеры;SHOKO SHABOLOVSKAYA 30;169;857
117;Аптеки;OOO CLASSIC-PRODUKT;58;-534
118;Компьтеры;TEHNO EKSPERT-UFA;-32;-679
119;Компьтеры;OSTIN-61;-801;468
120;Магазины;BAJE  CAFE;620;-901
121;Какая-то категория;SPORT 2000 SCHULTES   ;-321;-964
122;Ололоо;GRANIT;434;-755
123;ЛОлоло;EVRAZIA;874;-860
124;ЛОлоло;PYATEROCHKA 3536;-582;-874
125;Другая категория;ROBOKASSA_SHOP;618;446
126;Какая-то категория;HUBER SHOP GMBH 696;-165;-727
127;Какая-то категория;ECCO-UFA-MEGA;674;-364
128;Итернет;POS FARMACIYA;-439;217
129;Ололоо;MEDVEDKOVO STATION;257;-327
130;Машины;PINKBERRY  CAFE;249;-423
131;Еще одна категория;Lyubimyi 3;-247;969
132;Итернет;UN. COLORS OF BENETTON;106;967
133;Какая-то категория;PASTICCERIA S GREGORIO;-536;-415
134;Ололоо;PROVIANT;25;411
135;ЛОлоло;LORI+K   SHOP;-780;-590
136;Магазины;LUKOIL 427;-175;546
137;Еще одна категория;STOCKHOLM GLOBE ARENA;-68;296
138;ЛОлоло;RESTORAN DA PINO;602;648
139;Другая категория;TVW TRAVEL VALUE WIEN;748;-758
140;Ололоо;N1201207, OODJI;-785;597
141;Магазины;SMOLENSKY GASTRONOM S;331;-808
142;Другая категория;Dinea;366;-605
143;Еще одна категория;ATM 851 MKB 810;75;-366
144;Компьтеры;Lindex Pasaati;226;759
145;Еще одна категория;OOO_AVS AEROPORT-SERVI;504;223
146;Магазины;GASTRONOM UL.BOLSHAYA,99;461;-151
147;Магазины;LUKOIL 50 NN;-911;-482
148;Аптеки;AUCHAN 063 FANTASTIKA;-435;162
149;Аптеки;WWW.VERY-GOOD-WATER.R;-578;-450
150;Другая категория;M.VIDEO 180;-154;-457
151;Машины;OZON TRAVEL 026-612046227;-441;658
152;Еще одна категория;LISCA;-714;658
153;Компьтеры;BOKAREV A.V;105;-171
154;Машины;Yandex *TICKETS;-413;301
155;Машины;URALSITI;331;-786
156;Итернет;SLADKAYA ZHIZN;189;-518
157;Итернет;FARMSITI;270;639
158;Машины;YM.TV;539;-384
159;Магазины;MARIYA-RA PERV3A;-751;512
160;Ололоо;KFC ZVEZDNAYA  CAFE;510;378
161;Ололоо;GAZPROMNEFT AZS NO 4;-328;957
162;Ололоо;UZHNIY DVOR ELIZAVETA;-285;-279
163;Другая категория;BELVEST;555;-647
164;Другая категория;LOVE REPUBLIC MEGA;902;-146
165;Еще одна категория;FLY-PEGASUS PGS6745055;-607;-236
166;Ололоо;ADIDAS FO  SHOP;-88;37
167;Ололоо;THE CHILDRENS PLACE #1;294;270
168;Ололоо;TO,CHTO NADO;880;-34
169;Компьтеры;ALFA-TSENTR ZDOROVYA;-440;399
170;Какая-то категория;MMB ATM 740-BOROVIT.;428;-297
171;Ололоо;IKEA RESTAURANT 1;-273;106
172;Компьтеры;GOOGLE *Poweramp;-329;-598
